Gene names,organelle,source,name,RNA_tpm,protein_nM,Itzhak_annotation,Gingras_annotation_concordant,Gingras_annotation_NMF,Gingras_annotation_SAFE,Uniprot_curation,GO_cellular_compartment
ABCB7,mitochondria,MitoCarta 3.0 score >20,"Iron-sulfur clusters transporter ABCB7, mitochondrial",35.42142967,170.7829041,Mitochondrion,NA,"mitochondrial outer membrane, peroxisome","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion inner membrane {ECO:0000250|UniProtKB:P40416}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P40416}.,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
ABCB8,mitochondria,MitoCarta 3.0 score >20,Mitochondrial potassium channel ATP-binding subunit,51.89826405,22.5017621,Mitochondrion,NA,NA,NA,"Mitochondrion inner membrane {ECO:0000269|PubMed:16259955, ECO:0000269|PubMed:31435016}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.",ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of membrane [GO:0016021]; mitochondrial ATP-gated potassium channel complex [GO:0062157]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
ABHD11,mitochondria,MitoCarta 3.0 score >20,Protein ABHD11,22.25116833,151.7674313,Mitochondrion,NA,NA,NA,,mitochondrion [GO:0005739]
ACAA2,mitochondria,MitoCarta 3.0 score >20,"3-ketoacyl-CoA thiolase, mitochondrial",44.44579733,476.416309,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:18371312}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ACAD10,mitochondria,MitoCarta 3.0 score >20,Acyl-CoA dehydrogenase family member 10,14.90335209,8.382641216,,NA,NA,NA,,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ACAD8,mitochondria,MitoCarta 3.0 score >20,"Isobutyryl-CoA dehydrogenase, mitochondrial",25.16630433,44.81239176,,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:11013134, ECO:0000269|PubMed:12359132}.",mitochondrial matrix [GO:0005759]
ACADL,mitochondria,MitoCarta 3.0 score >20,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",2.989811333,5.116127103,NA,NA,NA,NA,Mitochondrion matrix {ECO:0000250|UniProtKB:P15650}.,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
ACADM,mitochondria,MitoCarta 3.0 score >20,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",105.9605342,1221.63258,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000269|PubMed:16020546}.,axon [GO:0030424]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
ACADS,mitochondria,MitoCarta 3.0 score >20,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",9.879761,80.44718174,Mitochondrion,NA,NA,NA,Mitochondrion matrix {ECO:0000250|UniProtKB:Q3ZBF6}.,centrosome [GO:0005813]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
ACADSB,mitochondria,MitoCarta 3.0 score >20,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",15.79858467,386.4524903,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000305|PubMed:11013134}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
